dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary,error
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.756667,0.761481,0.756667,104.81,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.476667,0.532791,0.516667,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,1000,8,63,0.343333,0.408366,0.37,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,1000,8,63,0.41,0.468603,0.443333,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.773333,0.780093,0.776667,104.81,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.5,0.556656,0.54,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,2000,8,125,0.37,0.430937,0.393333,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,2000,8,125,0.41,0.477862,0.436667,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.543333,0.604386,0.586667,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,4000,8,250,0.41,0.474984,0.44,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.373333,0.429413,0.393333,598.9,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,4000,8,250,0.46,0.52286,0.496667,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,500,8,32,0.263333,0.327976,0.273333,598.9,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_crossenc_top5_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_evidence_triples,Structured triples,500,8,32,0.72,0.727989,0.723333,104.81,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,500,8,32,0.443333,0.504204,0.49,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,no_context,No context,500,8,32,0.203333,0.263663,0.22,63.86,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_bm25_top5docs,BM25 top-5,500,8,32,0.24,0.296633,0.246667,610.59,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,500,8,32,0.27,0.334651,0.28,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,500,8,32,0.353333,0.424828,0.383333,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.976667,0.98119,0.976667,104.81,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.663333,0.7305,0.71,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,1000,8,63,0.406667,0.476022,0.45,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,1000,8,63,0.55,0.616667,0.593333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n1000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.986667,0.989524,0.986667,104.81,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.74,0.793034,0.78,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,2000,8,125,0.516667,0.577325,0.556667,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,2000,8,125,0.576667,0.64419,0.613333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n2000_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.773333,0.829556,0.82,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.586667,0.657198,0.633333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.523333,0.589159,0.55,598.9,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,4000,8,250,0.673333,0.73196,0.71,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,500,8,32,0.4,0.466868,0.44,598.9,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_crossenc_top5_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_evidence_triples,Structured triples,500,8,32,0.93,0.933333,0.93,104.81,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,500,8,32,0.603333,0.678926,0.7,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,no_context,No context,500,8,32,0.246667,0.291477,0.26,63.86,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_bm25_top5docs,BM25 top-5,500,8,32,0.363333,0.418749,0.39,610.59,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,500,8,32,0.38,0.456609,0.456667,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,500,8,32,0.5,0.573058,0.57,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n500_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,raw_context,Raw context,1000,8,63,0.61,0.665444,0.663333,1008.64,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,raw_support_first,Support first,1000,8,63,0.706667,0.765423,0.75,1008.64,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,gold_supporting_sentences,Oracle support,1000,8,63,0.77,0.840939,0.826667,134.63,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,no_context,No context,1000,8,63,0.293333,0.335218,0.313333,39.58,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.56,0.62027,0.606667,586.84,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,1000,8,63,0.523333,0.582368,0.56,1007.97,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_support_first,Support first,1000,8,63,0.64,0.69727,0.69,1007.97,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.773333,0.829034,0.826667,154.62,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,no_context,No context,1000,8,63,0.263333,0.320405,0.296667,63.86,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.546667,0.600876,0.573333,598.9,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_context,Raw context,1000,8,63,0.52,0.585246,0.56,1130.95,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_support_first,Support first,1000,8,63,0.643333,0.700394,0.683333,1130.95,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,gold_supporting_sentences,Oracle support,1000,8,63,0.73,0.802143,0.806667,146.59,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,no_context,No context,1000,8,63,0.28,0.324207,0.296667,37.85,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.483333,0.543053,0.506667,658.63,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.993333,0.993333,0.993333,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_gold_evidence_triples_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.72,0.789376,0.78,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_gold_supporting_sentences_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,1000,8,63,0.25,0.28886,0.263333,57.09,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_no_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,1000,8,63,0.623333,0.69081,0.676667,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_raw_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.536667,0.605214,0.573333,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_raw_crossenc_top5docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,1000,8,63,0.703333,0.767439,0.753333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n1000_raw_support_first_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.993333,0.993333,0.993333,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_evidence_triples_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.746667,0.816426,0.793333,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_supporting_sentences_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.27,0.315173,0.293333,57.09,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_no_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_order,BM25 order,2000,8,125,0.663333,0.72964,0.706667,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_bm25_order_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_top5docs,BM25 top-5,2000,8,125,0.566667,0.628657,0.613333,634.73,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_bm25_top5docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.626667,0.69381,0.686667,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_order,Cross-enc order,2000,8,125,0.676667,0.735765,0.72,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_order_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top3docs,Cross-enc top-3,2000,8,125,0.513333,0.591815,0.556667,429.18,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top3docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,2000,8,125,0.576667,0.645714,0.616667,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.706667,0.772344,0.753333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_support_first_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_evidence_triples,Structured triples,4000,8,250,0.993333,0.993333,0.993333,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_gold_evidence_triples_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.776667,0.843989,0.826667,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_gold_supporting_sentences_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,4000,8,250,0.713333,0.78249,0.76,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.6,0.662632,0.633333,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_crossenc_top5docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,4000,8,250,0.76,0.821704,0.803333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_support_first_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.926667,0.926667,0.926667,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_gold_evidence_triples_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.643333,0.72378,0.713333,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_gold_supporting_sentences_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,no_context,No context,1000,8,63,0.22,0.268556,0.24,57.09,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_no_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_context,Raw context,1000,8,63,0.55,0.61773,0.613333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_raw_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.47,0.541063,0.516667,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_raw_crossenc_top5docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_support_first,Support first,1000,8,63,0.58,0.650146,0.63,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_raw_support_first_summary.json,
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.61,0.771423,0.653333,157.93,0,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_gold_supporting_sentences_summary.json,
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.576667,0.71893,0.61,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_raw_context_summary.json,
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,4000,8,250,0.58,0.732726,0.61,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_raw_support_first_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.646667,0.78161,0.69,157.93,0,experiments/outputs/rank_sweep/hotpotqa_8b_r8_n1000_gold_supporting_sentences_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,1000,8,63,0.573333,0.723283,0.6,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_8b_r8_n1000_raw_context_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.593333,0.729162,0.61,662.69,0,experiments/outputs/rank_sweep/hotpotqa_8b_r8_n1000_raw_ftcrossenc_top5docs_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_support_first,Support first,1000,8,63,0.6,0.742546,0.633333,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_8b_r8_n1000_raw_support_first_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_sentences,Oracle support,500,8,32,0.623333,0.751931,0.666667,157.93,0,experiments/outputs/rank_sweep/hotpotqa_8b_r8_n500_key_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,500,8,32,0.536667,0.664578,0.566667,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_8b_r8_n500_key_summary.json,
