dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary,note
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,gold_supporting_sentences,Oracle support,1000,8,63,0.626667,0.785091,0.69,137.45,0,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,raw_context,Raw context,1000,8,63,0.556667,0.713403,0.583333,1434.02,1,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.606667,0.757947,0.636667,654.12,0,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Gemma-2-9B,google/gemma-2-9b-it,raw_support_first,Support first,1000,8,63,0.63,0.775631,0.67,1434.02,1,experiments/outputs/rank_sweep/hotpotqa_gemma2_9b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.646667,0.78161,0.69,157.93,0,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,1000,8,63,0.58,0.720877,0.606667,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.586667,0.726607,0.606667,662.69,0,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_support_first,Support first,1000,8,63,0.613333,0.759925,0.646667,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_llama31_8b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.61,0.771423,0.653333,157.93,0,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_gold_supporting_sentences_summary.json,n4000 small-reader core
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.576667,0.71893,0.61,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_raw_context_summary.json,n4000 small-reader core
hotpotqa,HotpotQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,4000,8,250,0.58,0.732726,0.61,1427.71,1,experiments/outputs/rank_sweep/hotpotqa_3b_r8_n4000_raw_support_first_summary.json,n4000 small-reader core
hotpotqa,HotpotQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,gold_supporting_sentences,Oracle support,1000,8,63,0.59,0.761211,0.666667,150.05,0,experiments/outputs/rank_sweep/hotpotqa_mistral7b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_context,Raw context,1000,8,63,0.53,0.684464,0.6,1611.29,2,experiments/outputs/rank_sweep/hotpotqa_mistral7b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.56,0.701589,0.606667,734.11,0,experiments/outputs/rank_sweep/hotpotqa_mistral7b_r8_n1000_short_interfaces_summary.json,
hotpotqa,HotpotQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_support_first,Support first,1000,8,63,0.613333,0.765102,0.666667,1611.29,2,experiments/outputs/rank_sweep/hotpotqa_mistral7b_r8_n1000_long_interfaces_summary.json,
hotpotqa,HotpotQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.603333,0.747862,0.67,156.16,0,experiments/outputs/rank_sweep/hotpotqa_qwen7b_r8_n1000_gold_supporting_sentences_summary.json,
hotpotqa,HotpotQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,no_context,No context,1000,8,63,0.153333,0.2468,0.17,60.71,0,experiments/outputs/rank_sweep/hotpotqa_qwen7b_r8_n1000_no_context_summary.json,
hotpotqa,HotpotQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_context,Raw context,1000,8,63,0.57,0.695972,0.626667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen7b_r8_n1000_raw_context_summary.json,
hotpotqa,HotpotQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_ftcrossenc_top5docs,FT cross-enc top-5,1000,8,63,0.593333,0.713206,0.63,685.44,0,experiments/outputs/rank_sweep/hotpotqa_qwen7b_r8_n1000_raw_ftcrossenc_top5docs_summary.json,
hotpotqa,HotpotQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_support_first,Support first,1000,8,63,0.616667,0.748221,0.676667,1484.26,1,experiments/outputs/rank_sweep/hotpotqa_qwen7b_r8_n1000_raw_support_first_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,gold_supporting_sentences,Oracle support,1000,8,63,0.77,0.840939,0.826667,134.63,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,no_context,No context,1000,8,63,0.293333,0.335218,0.313333,39.58,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,raw_context,Raw context,1000,8,63,0.61,0.665444,0.663333,1008.64,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.56,0.62027,0.606667,586.84,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Gemma-2-9B,google/gemma-2-9b-it,raw_support_first,Support first,1000,8,63,0.706667,0.765423,0.75,1008.64,0,experiments/outputs/rank_sweep/2wiki_gemma2_9b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.773333,0.829034,0.826667,154.62,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,no_context,No context,1000,8,63,0.263333,0.320405,0.296667,63.86,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,1000,8,63,0.523333,0.582368,0.56,1007.97,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.546667,0.600876,0.573333,598.9,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_support_first,Support first,1000,8,63,0.64,0.69727,0.69,1007.97,0,experiments/outputs/rank_sweep/2wiki_llama31_8b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.543333,0.604386,0.586667,154.62,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,4000,8,250,0.41,0.474984,0.44,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.373333,0.429413,0.393333,598.9,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,4000,8,250,0.46,0.52286,0.496667,1007.97,0,experiments/outputs/rank_sweep/2wiki_1b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_sentences,Oracle support,4000,8,250,0.773333,0.829556,0.82,154.62,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.586667,0.657198,0.633333,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.523333,0.589159,0.55,598.9,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,4000,8,250,0.673333,0.73196,0.71,1007.97,0,experiments/outputs/rank_sweep/2wiki_3b_r8_n4000_core_summary.json,n4000 small-reader core
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,gold_supporting_sentences,Oracle support,1000,8,63,0.73,0.802143,0.806667,146.59,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,no_context,No context,1000,8,63,0.28,0.324207,0.296667,37.85,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_context,Raw context,1000,8,63,0.52,0.585246,0.56,1130.95,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.483333,0.543053,0.506667,658.63,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_short_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_support_first,Support first,1000,8,63,0.643333,0.700394,0.683333,1130.95,0,experiments/outputs/rank_sweep/2wiki_mistral7b_r8_n1000_long_interfaces_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,gold_evidence_triples,Structured triples,1000,8,63,0.926667,0.926667,0.926667,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_gold_evidence_triples_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,gold_supporting_sentences,Oracle support,1000,8,63,0.643333,0.72378,0.713333,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_gold_supporting_sentences_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,no_context,No context,1000,8,63,0.22,0.268556,0.24,57.09,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_no_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_context,Raw context,1000,8,63,0.55,0.61773,0.613333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_raw_context_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.47,0.541063,0.516667,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_raw_crossenc_top5docs_summary.json,
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_support_first,Support first,1000,8,63,0.58,0.650146,0.63,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen7b_r8_n1000_raw_support_first_summary.json,
musique,MuSiQue,Gemma-2-9B,google/gemma-2-9b-it,gold_supporting_paragraphs,Oracle support,1000,8,63,0.643333,0.74739,0.676667,378.78,0,experiments/outputs/rank_sweep/musique_gemma2_9b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Gemma-2-9B,google/gemma-2-9b-it,no_context,No context,1000,8,63,0.063333,0.165545,0.08,44.08,0,experiments/outputs/rank_sweep/musique_gemma2_9b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Gemma-2-9B,google/gemma-2-9b-it,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.316667,0.445774,0.35,667.29,0,experiments/outputs/rank_sweep/musique_gemma2_9b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Gemma-2-9B,google/gemma-2-9b-it,raw_support_first,Support first,1000,8,63,0.536667,0.63359,0.57,2405.59,32,experiments/outputs/rank_sweep/musique_gemma2_9b_r8_n1000_raw_support_first_retry_summary.json,
musique,MuSiQue,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,gold_supporting_paragraphs,Oracle support,1000,8,63,0.563333,0.685295,0.613333,396.36,0,experiments/outputs/rank_sweep/musique_llama31_8b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,no_context,No context,1000,8,63,0.036667,0.129619,0.04,68.27,0,experiments/outputs/rank_sweep/musique_llama31_8b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_context,Raw context,1000,8,63,0.41,0.50478,0.44,2379.49,28,experiments/outputs/rank_sweep/musique_llama31_8b_r8_n1000_long_interfaces_summary.json,
musique,MuSiQue,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.256667,0.390048,0.283333,676.01,0,experiments/outputs/rank_sweep/musique_llama31_8b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,raw_support_first,Support first,1000,8,63,0.51,0.619419,0.54,2379.49,28,experiments/outputs/rank_sweep/musique_llama31_8b_r8_n1000_long_interfaces_summary.json,
musique,MuSiQue,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,gold_supporting_paragraphs,Oracle support,4000,8,250,0.446667,0.559893,0.473333,396.36,0,experiments/outputs/rank_sweep/musique_1b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_context,Raw context,4000,8,250,0.196667,0.299473,0.213333,2379.49,28,experiments/outputs/rank_sweep/musique_1b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.153333,0.263888,0.166667,676.01,0,experiments/outputs/rank_sweep/musique_1b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,raw_support_first,Support first,4000,8,250,0.35,0.458795,0.363333,2379.49,28,experiments/outputs/rank_sweep/musique_1b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,gold_supporting_paragraphs,Oracle support,4000,8,250,0.563333,0.661134,0.59,396.36,0,experiments/outputs/rank_sweep/musique_3b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_context,Raw context,4000,8,250,0.406667,0.506597,0.426667,2379.49,28,experiments/outputs/rank_sweep/musique_3b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,4000,8,250,0.256667,0.37957,0.273333,676.01,0,experiments/outputs/rank_sweep/musique_3b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,raw_support_first,Support first,4000,8,250,0.483333,0.586953,0.496667,2379.49,28,experiments/outputs/rank_sweep/musique_3b_r8_n4000_core_summary.json,n4000 small-reader core
musique,MuSiQue,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,gold_supporting_paragraphs,Oracle support,1000,8,63,0.54,0.65933,0.606667,424.9,0,experiments/outputs/rank_sweep/musique_mistral7b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,no_context,No context,1000,8,63,0.046667,0.134673,0.056667,42.13,0,experiments/outputs/rank_sweep/musique_mistral7b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_context,Raw context,1000,8,63,0.32,0.40404,0.333333,2649.96,78,experiments/outputs/rank_sweep/musique_mistral7b_r8_n1000_long_interfaces_summary.json,
musique,MuSiQue,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.27,0.407459,0.303333,747.4,0,experiments/outputs/rank_sweep/musique_mistral7b_r8_n1000_short_interfaces_summary.json,
musique,MuSiQue,Mistral-7B,mistralai/Mistral-7B-Instruct-v0.3,raw_support_first,Support first,1000,8,63,0.41,0.505961,0.433333,2649.96,78,experiments/outputs/rank_sweep/musique_mistral7b_r8_n1000_long_interfaces_summary.json,
musique,MuSiQue,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,gold_supporting_paragraphs,Oracle support,1000,8,63,0.53,0.644791,0.576667,404.9,0,experiments/outputs/rank_sweep/musique_qwen7b_r8_n1000_gold_supporting_paragraphs_summary.json,
musique,MuSiQue,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,no_context,No context,1000,8,63,0.033333,0.103897,0.036667,61.48,0,experiments/outputs/rank_sweep/musique_qwen7b_r8_n1000_no_context_summary.json,
musique,MuSiQue,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_context,Raw context,1000,8,63,0.336667,0.433929,0.38,2473.21,37,experiments/outputs/rank_sweep/musique_qwen7b_r8_n1000_raw_context_summary.json,
musique,MuSiQue,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,1000,8,63,0.226667,0.348059,0.26,699.58,0,experiments/outputs/rank_sweep/musique_qwen7b_r8_n1000_raw_crossenc_top5docs_summary.json,
musique,MuSiQue,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B-Instruct,raw_support_first,Support first,1000,8,63,0.466667,0.560099,0.503333,2473.21,37,experiments/outputs/rank_sweep/musique_qwen7b_r8_n1000_raw_support_first_summary.json,
