dataset,dataset_label,source_id,question,answer,raw_prediction,support_first_prediction,raw_f1,support_first_f1,delta_f1,primary_tag,primary_group,prediction_tag,layout_tag,support_positions_original,doc_count,raw_context_tokens,support_titles,original_titles_prefix
2wiki,2WikiMultiHopQA,18ef81360bde11eba7f7acde48001122,Where was the director of film A Winter Of Cyclists born?,Irish,Munster,Irish,0.0,1.0,1.0,other wrong answer,other wrong answer,other wrong answer,support mid-context,"[4, 6]",10,662,Mike Prendergast; A Winter of Cyclists,Olav Aaraas; Ian Barry (director); Jesse E. Hobson; Peter Levin; Mike Prendergast; S. N. Mathur; A Winter of Cyclists; Alix Madigan; ...
2wiki,2WikiMultiHopQA,410ea9b20bde11eba7f7acde48001122,Where was the place of burial of Princess Barbara Of Prussia's father?,Esparza,Kiel,Esparza,0.0,1.0,1.0,other wrong answer,other wrong answer,other wrong answer,support mid-context,"[1, 3]",10,582,Prince Sigismund of Prussia (1896–1978); Princess Barbara of Prussia,"Prince Albert of Prussia (1809–1872); Prince Sigismund of Prussia (1896–1978); Princess Elisabeth of Prussia; Princess Barbara of Prussia; Emperor Daigo; Christian of Oliva; Sophie, Princess of Prussia; Duchess Anna of Prussia; ..."
2wiki,2WikiMultiHopQA,42f793240bde11eba7f7acde48001122,What nationality is Amytis Of Media's husband?,Babylon,Babylonian,Babylon,0.0,1.0,1.0,all support late,layout bottleneck,partial or near-gold answer,all support late,"[5, 6]",10,399,Nebuchadnezzar II; Amytis of Media,"Iraqi nationality law; Media in Aurora, Colorado; Media in Greeley, Colorado; Media in Anchorage, Alaska; List of Victoria Cross recipients of uncertain nationality; Nebuchadnezzar II; Amytis of Media; Media in Pueblo, Colorado; ..."
2wiki,2WikiMultiHopQA,52bd3f41097011ebbdb0ac1f6bf848b6,"Which film came out earlier, Moscow Chill or Khote Sikkey?",Khote Sikkey,Moscow Chill,Khote Sikkey,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,some support very late,"[0, 7]",10,745,Khote Sikkey; Moscow Chill,Khote Sikkey; The Night of Nights; Life Is What You Make It (film); My Little Eye; Operation Leopard; The Fabulous Senorita; XX/XY; Moscow Chill; ...
2wiki,2WikiMultiHopQA,61276448089411ebbd75ac1f6bf848b6,"Which film has the director died later, Taming Sutton'S Gal or Struggle For Eagle Peak?",Taming Sutton'S Gal,Struggle For Eagle Peak,Taming Sutton'S Gal,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,support split by distractors,"[1, 3, 4, 5]",10,635,Struggle for Eagle Peak; Tancred Ibsen; Lesley Selander; Taming Sutton's Gal,Wilhelm Münter Rolfsen; Struggle for Eagle Peak; Querelle; Tancred Ibsen; Lesley Selander; Taming Sutton's Gal; Eva Bergh; Roger Corman's Operation Rogue; ...
2wiki,2WikiMultiHopQA,79f69dd80bda11eba7f7acde48001122,Where was the father of Deneys Reitz born?,Swellendam,Cape Town,Swellendam,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[6, 7]",10,732,Deneys Reitz; Francis William Reitz,Ric Reitz; Cleomenes II; Edgar Reitz; Christian Reitz; Curtis R. Reitz; Erik Reitz; Deneys Reitz; Francis William Reitz; ...
2wiki,2WikiMultiHopQA,7ca3e921086811ebbd5eac1f6bf848b6,"Do both films, The Big Attraction and All Women Have Secrets, have the directors who are from the same country?",yes,no,yes,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[2, 5, 6, 8]",10,481,The Big Attraction; All Women Have Secrets; Max Reichmann; Kurt Neumann (director),Francis Gouldman; William Henry (actor); The Big Attraction; History of women's rights in South Africa; Yojimbo; All Women Have Secrets; Max Reichmann; Void (film); ...
2wiki,2WikiMultiHopQA,907764820baf11ebab90acde48001122,"Who is Alexander Stewart, 4Th High Steward Of Scotland's paternal grandfather?",Alan fitz Walter,Gille Brigte of Angus,Alan fitz Walter,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[2, 5]",10,981,"Alexander Stewart, 4th High Steward of Scotland; Walter Stewart, 3rd High Steward of Scotland","John Stewart of Ralston; John Stewart of Bonkyll; Alexander Stewart, 4th High Steward of Scotland; Gille Críst, Earl of Angus; Alexander Stewart (mayor); Walter Stewart, 3rd High Steward of Scotland; Walter Stewart, 6th High Steward of Scotland; Alan fitz Walter, 2nd High Steward of Scotland; ..."
2wiki,2WikiMultiHopQA,cc6c68e4096511ebbdafac1f6bf848b6,Are both Captain Blood (1960 Film) and Senso '45 from the same country?,yes,no,yes,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[8, 9]",10,815,Senso '45; Captain Blood (1960 film),The Proper Time; The Son of Captain Blood; The Subterraneans (film); Captain Blood (1924 film); Fortunes of Captain Blood; Le propre de l'homme; The Time Machine (2002 film); Captain Blood (1935 film); ...
2wiki,2WikiMultiHopQA,cf798e100bd911eba7f7acde48001122,"What is the date of death of Henry Stafford, 1St Baron Stafford's mother?",13 February 1530,12 August 1570,13 February 1530,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[6, 7]",10,605,"Henry Stafford, 1st Baron Stafford; Eleanor Percy, Duchess of Buckingham","Thomas Stafford (rebel); Richard Stafford, 1st Baron Stafford of Clifton; Edward Stafford, 3rd Baron Stafford; Ursula Pole, Baroness Stafford; Edmund Stafford, 1st Baron Stafford; Henry Stafford, 2nd Baron Stafford; Henry Stafford, 1st Baron Stafford; Eleanor Percy, Duchess of Buckingham; ..."
2wiki,2WikiMultiHopQA,d759ab480bdd11eba7f7acde48001122,Where was the place of death of Aleksandr Aleksandrovich Bibikov's father?,Bugulma,Frankfurt,Bugulma,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[4, 7]",10,1421,Aleksandr Aleksandrovich Bibikov; Aleksandr Bibikov,Dance of Death (disambiguation); François Thierry; Place of origin; Where Was I; Aleksandr Aleksandrovich Bibikov; Beaulieu-sur-Loire; Place of birth; Aleksandr Bibikov; ...
2wiki,2WikiMultiHopQA,df6b3eda086f11ebbd62ac1f6bf848b6,Are the directors of films The Girl Of The Golden West (1922 Film) and Love At The Wheel both from the same country?,yes,no,yes,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[1, 2, 7, 8]",10,492,Love at the Wheel; The Girl of the Golden West (1922 film); Victor Janson; Hans Werckmeister,Carolina Cotton; Love at the Wheel; The Girl of the Golden West (1922 film); Girl of the Golden West (1942 film); The Girl of the Golden West (1915 film); The Golden West (1911 film); The Girl of the Golden West (1938 film); Victor Janson; ...
2wiki,2WikiMultiHopQA,e5b7206408d411ebbd98ac1f6bf848b6,"Which film whose director is younger, Wings For The Eagle or Son Of D'Artagnan?",Son Of D'Artagnan,Wings For The Eagle,Son Of D'Artagnan,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,some support very late,"[0, 5, 6, 8]",10,762,Son of d'Artagnan; Riccardo Freda; Lloyd Bacon; Wings for the Eagle,Son of d'Artagnan; Eye of the Eagle 2: Inside the Enemy; Gatien de Courtilz de Sandras; The Secret Mark of D'Artagnan; Eagle (disambiguation); Riccardo Freda; Lloyd Bacon; La Bestia humana; ...
2wiki,2WikiMultiHopQA,f033458e08b811ebbd88ac1f6bf848b6,"Which film whose director is younger, Son Of God'S Country or The Court Concert?",Son Of God'S Country,The Court Concert,Son Of God'S Country,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,some support very late,"[0, 2, 5, 9]",10,836,R. G. Springsteen; Son of God's Country; The Court Concert; Douglas Sirk,R. G. Springsteen; Man from God's Country; Son of God's Country; Back to God's Country (1927 film); The Court Concert (1948 film); The Court Concert; God's Country and the Law; David Hartford; ...
2wiki,2WikiMultiHopQA,f3cdfe9108d211ebbd96ac1f6bf848b6,Was Davyd Whaley or Manolo Cadenas born first?,Manolo Cadenas,Thomas Whaley,Manolo Cadenas,0.0,1.0,1.0,distractor-entity answer,entity or hop confusion,distractor-entity answer,support split by distractors,"[2, 6]",10,283,Manolo Cadenas; Davyd Whaley,Wesley Barresi; John McMahon (Surrey and Somerset cricketer); Manolo Cadenas; Hartley Lobban; Henry Moore (cricketer); Thomas Whaley (politician); Davyd Whaley; Wale Adebanwi; ...
2wiki,2WikiMultiHopQA,f66c25620bae11ebab90acde48001122,"Who is David Carnegie, 10Th Earl Of Northesk's paternal grandmother?",Georgiana Maria Elliot,Hersey Susan Sydney Wauchope,Georgiana Maria Elliot,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[4, 7]",10,879,"George Carnegie, 9th Earl of Northesk; David Carnegie, 10th Earl of Northesk","David Carnegie, 4th Earl of Northesk; John Talbot, 10th Earl of Shrewsbury; David Carnegie, 2nd Earl of Northesk; George Carnegie, 6th Earl of Northesk; George Carnegie, 9th Earl of Northesk; David Carnegie, 3rd Earl of Northesk; David Carnegie, 11th Earl of Northesk; David Carnegie, 10th Earl of Northesk; ..."
2wiki,2WikiMultiHopQA,6a76a6b60bb011ebab90acde48001122,Who is Princess Marie Of Waldeck And Pyrmont's maternal grandfather?,"William, Duke of Nassau","Karl August, Prince of Waldeck and Pyrmont","William, Duke of Nassau",0.1818,1.0,0.8182,some support very late,layout bottleneck,other wrong answer,some support very late,"[3, 8]",10,491,Princess Marie of Waldeck and Pyrmont; Princess Helena of Nassau,"George I, Prince of Waldeck and Pyrmont; Princess Guda of Waldeck and Pyrmont; George II, Prince of Waldeck and Pyrmont; Princess Marie of Waldeck and Pyrmont; Princess Mathilde of Waldeck and Pyrmont; Wittekind, Prince of Waldeck and Pyrmont; Friedrich Anton Ulrich, Prince of Waldeck and Pyrmont; Princess Helena of Waldeck and Pyrmont (1899–1948); ..."
hotpotqa,HotpotQA,5a79395455429970f5fffe7d,"What was the name of the lead character in the 1960s sitcom ""Get Smart"", which also featured an American actress born in 1933?",Maxwell Smart,Agent 99,Maxwell Smart,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[3, 6]",10,786,"Get Smart, Again!; Barbara Feldon","Dee Caruso; Roxane Berard; Get Smart (1995 TV series); Get Smart, Again!; Bruce Bilson; Bernie Kopell; Barbara Feldon; Robert Karvelas; ..."
hotpotqa,HotpotQA,5a81e8ea5542995ce29dcc73,Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,Akosua Gyamama Busia,Whoopi Goldberg,Akosua Gyamama Busia,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[2, 8]",10,1057,Akosua Busia; The Color Purple (film),Influence of Stanley Kubrick; Matt Charman; Akosua Busia; Goonies (disambiguation); Frank Marshall (producer); Taken (miniseries); Rick Carter; Renée Elise Goldsberry; ...
hotpotqa,HotpotQA,5ac0d9a35542992a796ded90,Are Hungry Hungry Hippos and Parcheesi both published by Parker Brothers?,no,yes,no,0.0,1.0,1.0,other wrong answer,other wrong answer,other wrong answer,support mid-context,"[3, 5]",10,854,Hungry Hungry Hippos; Parcheesi,Hungry Shark; Lord of the Rings: Journey to Rivendell; Scattergories; Hungry Hungry Hippos; Parker Bros.; Parcheesi; Parker Brothers; Star Wars: Return of the Jedi: Ewok Adventure; ...
hotpotqa,HotpotQA,5ac2da27554299657fa2909f,Which town was home to a forward for the Western New York Flash?,Oyster Bay,"Massapequa, New York",Oyster Bay,0.0,1.0,1.0,support-entity answer,entity or hop confusion,support-entity answer,some support very late,"[0, 7]",10,835,"Vicki DiMartino; Massapequa, New York","Massapequa, New York; Becky Edwards (soccer); Sam Kerr; 2010 Buffalo Flash season; Jessica McDonald; Capelli Sport Stadium; 2016 Western New York Flash season; Vicki DiMartino; ..."
hotpotqa,HotpotQA,5adf85e05542993344016cba,What football league did John Moncur belong to during his time at Ipswich Town F.C.?,Championship,Premier League,Championship,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[6, 9]",10,724,John Moncur; Ipswich Town F.C.,Jason Dozzell; 2006–07 Ipswich Town F.C. season; History of Ipswich Town F.C.; 2011–12 Ipswich Town F.C. season; 2010–11 Ipswich Town F.C. season; 2000–01 Ipswich Town F.C. season; Ipswich Town F.C.; John Elsworthy; ...
hotpotqa,HotpotQA,5ae3fd2c5542995dadf2428f,Are Ian Brown and Dee Snider both actors?,no,yes,no,0.0,1.0,1.0,other wrong answer,other wrong answer,other wrong answer,support mid-context,"[3, 5]",10,635,Ian Brown; Dee Snider,Desperado (band); Widowmaker (Dee Snider band); The House of Hair with Dee Snider; Ian Brown; Van Helsing's Curse; Dee Snider; Jesse Blaze Snider; Dee Does Broadway; ...
hotpotqa,HotpotQA,5a734acf5542991f9a20c6ec,"Which singer is younger, Shirley Manson or Jim Kerr?",Shirley Ann Manson,James Kerr,Shirley Manson,0.0,0.8,0.8,some support very late,layout bottleneck,other wrong answer,some support very late,"[4, 8]",10,977,Shirley Manson; Jim Kerr,Queer (song); Shirley Manson discography; Lostboy! AKA Jim Kerr; Shadowland (song); Shirley Manson; Angelfish (album); Refugee (Jim Kerr song); Not Your Kind of People; ...
musique,MuSiQue,2hop__10114_599630,Where in Zhejiang is the city where Protestants are especially notable?,Yongjia County,near Wenzhou,Yongjia County,0.0,1.0,1.0,intermediate-hop answer,entity or hop confusion,intermediate-hop answer,support mid-context,"[9, 12]",20,1836,Zhejiang; Sanjiang Church,Australia; Biłgoraj County; Pangi Territory; Cyprus Popular Bank; Forest Creek Monster Meeting; Dare Not Walk Alone; States of Nigeria; List of territorial entities where English is an official language; ...
musique,MuSiQue,2hop__130984_55721,What place gets the most rain where Sandy High School is?,the Coast Range,coastal mountains,Coast Range,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[7, 14]",20,1006,Climate of Oregon; Sandy High School,Cloverleaf High School; River Valley High School (Michigan); Tamborine Mountain State High School; Legend High School; Emmaus High School; Crestwood High School (Georgia); Westerly High School; Climate of Oregon; ...
musique,MuSiQue,2hop__19007_60935,Who was the first person to do a full translation of the Bible into the script in which Hokkien is sometimes written?,St Jerome,Miles Coverdale,St Jerome,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[18, 19]",20,1689,Vulgate; Hokkien,Hokkien; King James Version; Bible translations into English; The Complete Fairy Tales of Hermann Hesse; Let there be light; The Voice (Bible translation); New International Version; Bible translations into Greek; ...
musique,MuSiQue,2hop__242938_18803,What did M. King Hubbert's employer announce it was in the process of doing in April 2010?,trying to find a potential buyer for all of its operations in Finland,divest from downstream business,trying to find a potential buyer for all of its operations in Finland,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[10, 19]",20,1504,M. King Hubbert; Royal Dutch Shell,"Pair of Kings; San Ardo, California; Tyler Toffoli; 457 visa; IPad (1st generation); Jack Hubbert; Kosciuszko (album); Omoniyi Caleb Olubolade; ..."
musique,MuSiQue,2hop__66167_88526,Who was picked before the player who has the most points in an NBA season in the NBA draft?,Greg Oden,Markelle Fultz,Greg Oden,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[1, 7]",20,1710,List of National Basketball Association annual scoring leaders; 2007 NBA draft,"Cedric Henderson (basketball, born 1965); List of National Basketball Association annual scoring leaders; Jim Farmer; Desmond Mason; 1950 NBA draft; Cazzie Russell; Marcus Smart; 2007 NBA draft; ..."
musique,MuSiQue,2hop__668407_683671,Who is the father of Empress Wang's husband?,Yang Xingmi,Sima Daozi,Yang Xingmi,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[3, 18]",20,1564,Empress Dowager Wang (Rui); Empress Wang (Yang Pu),Empress Dowager Gou; Sima Yuanxian; Li Kuangwei; Empress Dowager Wang (Rui); Philip III of Spain; Wang Lin (badminton); Cunigunde of Luxembourg; Empress Shōshi; ...
musique,MuSiQue,2hop__725233_150107,Who published Communications of the publisher of the Mobile Computing and Communications Review?,Association for Computing Machinery,ACM,Association for Computing Machinery,0.0,1.0,1.0,intermediate-hop answer,entity or hop confusion,intermediate-hop answer,some support very late,"[8, 19]",20,1288,Mobile Computing and Communications Review; Communications of the ACM,ACS Macro Letters; Journal of Chemometrics; Annals of Botany; The Review of Communication; Electronic Communications in Probability; Macromolecular Materials and Engineering; Environmental Science & Technology; Geophysical Journal International; ...
musique,MuSiQue,2hop__78756_198548,Who is the spouse of the person who voices Smokey the bear?,Katharine Ross,Laura Lizer Sommers,Katharine Ross,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[5, 16]",20,1924,Smokey Bear; Murder in Texas,B. J. and the Bear; Smokey Mayfield; Scarecrow (Oz); Smokey and the Bandit; Paddington (film); Smokey Bear; Roger Carel; The Cleveland Show; ...
musique,MuSiQue,2hop__80673_510545,Who is the spouse of the actor who plays Vision in the new Avengers movie?,Jennifer Connelly,Olivia d'Abo,Jennifer Connelly,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[2, 14]",20,1680,A Beautiful Mind (soundtrack); Paul Bettany,BMW Vision ConnectedDrive; Diana Rigg; A Beautiful Mind (soundtrack); Viadeo; Thanos; Sympathy for the Underdog; Vision of the Valley of Dry Bones; Thanos; ...
musique,MuSiQue,2hop__89991_58067,Who was honored with the highest award in India before becoming president?,A.P.J. Abdul Kalam,Sarvepalli Radhakrishnan,A.P.J. Abdul Kalam,0.0,1.0,1.0,distractor-entity answer,entity or hop confusion,distractor-entity answer,all support late,"[16, 18]",20,1888,"A. P. J. Abdul Kalam; Orders, decorations, and medals of India",State Bank of India; Cinema of India; President of India; Lata Mangeshkar; Lokesh Kumar Singhal; Vishwanath Jadhav; Saifuddin Kitchlew; Noboru Karashima; ...
musique,MuSiQue,3hop1__41865_55331_34700,Who sent naval ships to the body of water that joins the Atlantic and the sea where the Rhine ends?,Caesar,U.S. Navy,Caesar,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[7, 17, 19]",20,1937,Roman Republic; North Sea; Rhine,Battle of Bantam; Buck passing; Battle of the Falkland Islands; Garonne; Molotov–Ribbentrop Pact; Monocacy River; The Blitz; Roman Republic; ...
musique,MuSiQue,3hop1__572324_568433_51423,What is the name of the castle in the city where the headquarters of the production company of Care Bear: Journey to Joke-a-lot is located?,Casa Loma,Universal Studios,Casa Loma,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[6, 7, 16]",20,1449,Natalie Turner; Care Bears: Journey to Joke-a-lot; Casa Loma,"BorsodChem; Tybouts Corner, Delaware; Bellver Castle; Miller Brewing Company; Amblin Entertainment; Banknotes of the pound sterling; Natalie Turner; Care Bears: Journey to Joke-a-lot; ..."
musique,MuSiQue,3hop1__622497_160088_821792,Who wrote a book about growing up in the same nationality as the man who produced The Wild Women of Chastity Gulch?,Min Zhou,Wolf Mankowitz,Min Zhou,0.0,1.0,1.0,all support late,layout bottleneck,other wrong answer,all support late,"[10, 18, 19]",20,1462,Aaron Spelling; The Wild Women of Chastity Gulch; Growing Up American,"The Gospel Bill Show; A Kid for Two Farthings; Rendezvous at Big Gulch (Terror in the Neighborhood); Whiskeytown, California; Sharks' Treasure; Coffee; The Goddess of Sagebrush Gulch; Built for the Kill; ..."
musique,MuSiQue,3hop1__640171_228453_10972,When did the headquarters city of the Blanton's manufacturer elect its first black mayor?,1970s,1973,1970s,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[0, 6, 9]",20,1394,Black people; Sazerac; Blanton's,"Black people; E. Denise Simmons; 2016 London mayoral election; New York City; Mayor of Jersey City, New Jersey; Néria Lúcio Buzatto; Sazerac; Hayrat; ..."
musique,MuSiQue,3hop1__765565_326948_78782,Who was the British general in the birthplace of the performer of Here Come the Girls?,General Edward Pakenham,Admiral Alexander Cochrane,General Edward Pakenham,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[6, 10, 17]",20,1742,Battle of New Orleans; Mother-in-Law Lounge; Here Come the Girls (song),Pitch Perfect 3; Battle of Porto Praya; Battle of Dunkirk; Battle of the Monongahela; Girls' Generation's Romantic Fantasy; Battle of the Saintes; Battle of New Orleans; Battle of Alto de los Godos; ...
musique,MuSiQue,3hop2__132957_132968_40768,"When did the maker of Acura Legend, the company that makes Daihatsu Charmant, and Nissan open US assembly plants?",1981,by the early 1980s,1981,0.0,1.0,1.0,support split by distractors,layout bottleneck,other wrong answer,support split by distractors,"[2, 10, 14]",20,1605,Daihatsu Charmant; Acura Legend; 1973 oil crisis,Acura RDX; IPod; Daihatsu Charmant; Acura EL; Acura RL; Red; Samcor; Acura RLX; ...
musique,MuSiQue,3hop2__92991_72083_76291,When did the party who gained control of congress in the midterm elections in 1946 take control of the determiner of rules of the US House and US Senate?,January 2015,1886,January 2015,0.0,1.0,1.0,distractor-entity answer,entity or hop confusion,distractor-entity answer,all support late,"[11, 13, 19]",20,1690,2014 United States Senate elections; 1946 United States House of Representatives elections; Standing Rules of the United States Senate,114th United States Congress; Marriage Protection Act; 2018 United States elections; Sulaiman Mohammed Nazif; African Americans in the United States Congress; CDC SCOPE; Montana; 2015 Nigerian general election; ...
musique,MuSiQue,4hop2__161602_426860_88460_126088,Who was in charge in the country that is the natural boundary between the country that hosted the tournament and the country where That Dam is located?,Thein Sein,Aung San Suu Kyi,Thein Sein,0.0,1.0,1.0,some support very late,layout bottleneck,other wrong answer,some support very late,"[1, 2, 4, 18]",20,1751,2020 AFC U-23 Championship qualification; Myanmar; That Dam; Geography of Myanmar,Li Jiaman; 2020 AFC U-23 Championship qualification; Myanmar; Vajiralongkorn Dam; That Dam; 2016 FIFA Club World Cup; 1986 FIFA World Cup; Beaverdell; ...
